Local Government Directory,,,,,,,,,,,,,
All Villages of Gujarat(State code : 24) State,,,,,,,,,,,,,
,,,,,,,,,,,,,
S.No.,District Code,District Name,Sub-District Code,Sub-District Name,Village Code,Village Version,Village Name ,Village Name,Village Category,Village Status,Census 2001 Code,Census 2011 Code,
139,438,Ahmedabad,3778,Detroj-Rampura,511452,1,Fatepura,,Rural,Inhabitant,00504900,511452,
140,438,Ahmedabad,3778,Detroj-Rampura,511457,1,Gamanpura,,Rural,Inhabitant,00505400,511457,
141,438,Ahmedabad,3778,Detroj-Rampura,511486,1,Ghatisana,,Rural,Inhabitant,00508300,511486,
142,438,Ahmedabad,3778,Detroj-Rampura,511465,1,Ghelda,,Rural,Inhabitant,00506200,511465,
143,438,Ahmedabad,3778,Detroj-Rampura,937124,1,Gitapur,ગીતાપુર,Rural,Inhabitant,,000000,
144,438,Ahmedabad,3778,Detroj-Rampura,511440,1,Gunjala,,Rural,Inhabitant,00503700,511440,
145,438,Ahmedabad,3778,Detroj-Rampura,511476,1,Hathipura,,Rural,Inhabitant,00507300,511476,
146,438,Ahmedabad,3778,Detroj-Rampura,511466,1,Indrapura,,Rural,Inhabitant,00506300,511466,
147,438,Ahmedabad,3778,Detroj-Rampura,511467,1,Jaspura,,Rural,Inhabitant,00506400,511467,
148,438,Ahmedabad,3778,Detroj-Rampura,511454,1,Jethipura,,Rural,Inhabitant,00505100,511454,
149,438,Ahmedabad,3778,Detroj-Rampura,511487,1,Kantrodi,,Rural,Inhabitant,00508400,511487,
150,438,Ahmedabad,3778,Detroj-Rampura,511485,1,Kanz,,Rural,Inhabitant,00508200,511485,
151,438,Ahmedabad,3778,Detroj-Rampura,511493,1,Kointiya,,Rural,Inhabitant,00509000,511493,
152,438,Ahmedabad,3778,Detroj-Rampura,511473,1,Kukvav,,Rural,Inhabitant,00507000,511473,
153,438,Ahmedabad,3778,Detroj-Rampura,511460,1,Madrisana,,Rural,Inhabitant,00505700,511460,
154,438,Ahmedabad,3778,Detroj-Rampura,511470,1,Marusana,,Rural,Inhabitant,00506700,511470,
155,438,Ahmedabad,3778,Detroj-Rampura,511479,1,Mota Karanpura,,Rural,Inhabitant,00507600,511479,
156,438,Ahmedabad,3778,Detroj-Rampura,511444,1,Moti Rantai,,Rural,Inhabitant,00504100,511444,
157,438,Ahmedabad,3778,Detroj-Rampura,511458,1,Nadishala,,Rural,Inhabitant,00505500,511458,
158,438,Ahmedabad,3778,Detroj-Rampura,511480,1,Nana Karanpura,,Rural,Inhabitant,00507700,511480,
159,438,Ahmedabad,3778,Detroj-Rampura,511453,1,Nani Rantai,,Rural,Inhabitant,00505000,511453,
160,438,Ahmedabad,3778,Detroj-Rampura,511472,1,Nathpura,,Rural,Inhabitant,00506900,511472,
161,438,Ahmedabad,3778,Detroj-Rampura,511455,1,Odhav,,Rural,Inhabitant,00505200,511455,
162,438,Ahmedabad,3778,Detroj-Rampura,511456,1,Odhav Paru,,Rural,Inhabitant,00505300,511456,
163,438,Ahmedabad,3778,Detroj-Rampura,511494,1,Panar,,Rural,Inhabitant,00509100,511494,
164,438,Ahmedabad,3778,Detroj-Rampura,511451,1,Rajpura,,Rural,Inhabitant,00504800,511451,
